company,budget,deadline,projectStatus,projectName
Stevens LLC,136743.27,2025-10-12 16:05:23,Completed,Customizable directional conglomeration
Valdez-Carney,368538.88,2026-03-09 09:59:41,Completed,Cross-group web-enabled policy
Taylor PLC,30023.39,2026-08-10 03:50:43,In Progress,Reactive well-modulated workforce
Atkinson and Sons,309693.81,2026-11-08 04:34:31,On Hold,Adaptive full-range superstructure
"Jones, Brown and Mcgrath",319674.38,2026-09-06 21:31:22,Completed,Universal client-server moratorium
Webb-Pena,220088.1,2026-06-20 08:42:54,On Hold,Face-to-face directional installation
"Porter, Flores and Mayer",254644.11,2025-06-06 20:41:38,On Hold,Robust cohesive orchestration
"Galvan, Martinez and Bell",70812.28,2026-08-05 21:53:17,Not Started,De-engineered national system engine
Daniels LLC,161509.68,2025-02-08 12:07:33,In Progress,Ergonomic disintermediate array
Carroll-Williams,89209.97,2025-05-31 19:47:24,Cancelled,Function-based national database
"Evans, Kramer and Lane",463188.9,2025-07-20 13:22:27,In Progress,De-engineered modular instruction set
Johnson-Bray,213236.07,2025-12-17 00:10:35,In Progress,Vision-oriented uniform leverage
"Jones, Johnson and Brewer",40978.67,2026-07-14 11:05:35,Cancelled,Phased transitional emulation
"Avery, Joseph and Adkins",103818.47,2026-05-03 21:26:07,Not Started,Total actuating analyzer
"Ward, Lloyd and Williams",365737.52,2025-02-01 01:51:26,Not Started,Implemented intangible functionalities
English-Chang,213952.19,2026-06-06 19:38:48,Completed,Adaptive non-volatile neural-net
"Jackson, Austin and Marshall",141050.79,2024-12-27 08:24:02,Completed,Centralized multimedia support
Chapman-Mcneil,27164.42,2025-05-27 03:15:40,Not Started,Virtual asymmetric Internet solution
Reeves-Cherry,296306.79,2026-06-28 21:01:58,Not Started,Programmable mission-critical process improvement
Garcia-Bailey,418016.14,2026-09-14 21:59:03,Not Started,Secured maximized solution
"Griffin, Livingston and Ray",203509.55,2026-01-08 20:08:29,On Hold,Function-based client-server open system
"Wright, Martin and Stewart",112968.61,2026-10-07 11:53:03,In Progress,Pre-emptive radical help-desk
Moore LLC,102636.89,2026-10-07 08:38:00,Completed,Adaptive 24/7 website
Mccoy Ltd,351612.18,2025-02-18 13:47:28,Cancelled,Sharable mobile paradigm
Brewer PLC,108466.94,2026-08-17 14:56:22,Completed,Balanced bifurcated analyzer
Payne-Torres,393514.28,2025-01-26 11:02:21,Completed,Networked leadingedge database
Walker PLC,336657.25,2025-01-21 16:36:42,On Hold,Polarized executive orchestration
Hughes PLC,266444.38,2025-09-17 07:25:21,Cancelled,Secured heuristic pricing structure
