productName,quantity,productDescription,materialType,weight,price
Screw A,39,A high-quality screw designed for durability and efficiency.,Fabric,89.88,121.67
Bolt B,416,A high-quality bolt designed for durability and efficiency.,Plastic,7.02,312.77
Nail C,320,A high-quality nail designed for durability and efficiency.,Glass,98.68,410.06
Hammer D,432,A high-quality hammer designed for durability and efficiency.,Wood,43.61,263.54
Wrench E,273,A high-quality wrench designed for durability and efficiency.,Glass,53.95,30.34
Drill F,133,A high-quality drill designed for durability and efficiency.,Fabric,52.14,201.63
Saw G,332,A high-quality saw designed for durability and efficiency.,Metal,95.24,122.26
Pliers H,161,A high-quality pliers designed for durability and efficiency.,Composite,68.25,329.45
Tape Measure I,295,A high-quality tape designed for durability and efficiency.,Fabric,94.2,380.15
Screwdriver J,358,A high-quality screwdriver designed for durability and efficiency.,Wood,29.22,187.12
Nut K,425,A high-quality nut designed for durability and efficiency.,Wood,1.56,486.44
Washer L,343,A high-quality washer designed for durability and efficiency.,Composite,7.26,372.88
Chisel M,465,A high-quality chisel designed for durability and efficiency.,Metal,50.73,347.87
Clamp N,203,A high-quality clamp designed for durability and efficiency.,Ceramic,39.95,419.84
Level O,156,A high-quality level designed for durability and efficiency.,Composite,77.8,68.17
Sandpaper P,323,A high-quality sandpaper designed for durability and efficiency.,Composite,98.15,384.93
Wire Cutter Q,498,A high-quality wire designed for durability and efficiency.,Ceramic,18.03,79.58
Socket R,282,A high-quality socket designed for durability and efficiency.,Composite,16.17,233.65
Drill Bit S,493,A high-quality drill designed for durability and efficiency.,Ceramic,94.03,212.4
Grinder T,159,A high-quality grinder designed for durability and efficiency.,Ceramic,65.12,392.2
Screw U,426,A high-quality screw designed for durability and efficiency.,Ceramic,50.21,192.08
Bolt V,87,A high-quality bolt designed for durability and efficiency.,Plastic,23.86,491.99
Nail W,436,A high-quality nail designed for durability and efficiency.,Glass,9.23,495.64
Hammer X,175,A high-quality hammer designed for durability and efficiency.,Fabric,53.52,135.35
Wrench Y,497,A high-quality wrench designed for durability and efficiency.,Plastic,47.86,1.53
Drill Z,206,A high-quality drill designed for durability and efficiency.,Ceramic,93.67,209.81
Saw A,408,A high-quality saw designed for durability and efficiency.,Metal,95.12,287.0
Pliers B,17,A high-quality pliers designed for durability and efficiency.,Glass,48.72,2.92
Tape Measure C,486,A high-quality tape designed for durability and efficiency.,Glass,45.0,448.05
Screwdriver D,178,A high-quality screwdriver designed for durability and efficiency.,Ceramic,44.6,208.4
Nut E,392,A high-quality nut designed for durability and efficiency.,Metal,46.22,64.5
Washer F,446,A high-quality washer designed for durability and efficiency.,Fabric,14.8,124.68
Chisel G,104,A high-quality chisel designed for durability and efficiency.,Ceramic,10.62,121.69
Clamp H,244,A high-quality clamp designed for durability and efficiency.,Fabric,40.07,451.1
Level I,328,A high-quality level designed for durability and efficiency.,Glass,5.94,106.31
Sandpaper J,271,A high-quality sandpaper designed for durability and efficiency.,Glass,79.91,309.58
Wire Cutter K,69,A high-quality wire designed for durability and efficiency.,Ceramic,80.35,236.96
Socket L,241,A high-quality socket designed for durability and efficiency.,Wood,53.91,207.83
Drill Bit M,144,A high-quality drill designed for durability and efficiency.,Fabric,46.65,30.62
Grinder N,72,A high-quality grinder designed for durability and efficiency.,Ceramic,45.65,122.19
Screw O,148,A high-quality screw designed for durability and efficiency.,Composite,78.33,261.73
Bolt P,307,A high-quality bolt designed for durability and efficiency.,Ceramic,93.5,91.25
Nail Q,155,A high-quality nail designed for durability and efficiency.,Glass,33.12,242.95
Hammer R,385,A high-quality hammer designed for durability and efficiency.,Glass,73.44,387.17
Wrench S,406,A high-quality wrench designed for durability and efficiency.,Metal,86.02,63.54
Drill T,251,A high-quality drill designed for durability and efficiency.,Fabric,47.31,322.43
Saw U,462,A high-quality saw designed for durability and efficiency.,Composite,46.56,400.77
Pliers V,304,A high-quality pliers designed for durability and efficiency.,Fabric,62.71,277.74
Tape Measure W,318,A high-quality tape designed for durability and efficiency.,Ceramic,57.9,238.99
Screwdriver X,431,A high-quality screwdriver designed for durability and efficiency.,Composite,7.38,139.58
Nut Y,437,A high-quality nut designed for durability and efficiency.,Plastic,89.96,492.93
Washer Z,292,A high-quality washer designed for durability and efficiency.,Wood,29.09,460.21
Chisel A,281,A high-quality chisel designed for durability and efficiency.,Fabric,28.94,65.04
Clamp B,17,A high-quality clamp designed for durability and efficiency.,Plastic,12.85,219.94
Level C,306,A high-quality level designed for durability and efficiency.,Fabric,69.39,286.36
Sandpaper D,157,A high-quality sandpaper designed for durability and efficiency.,Ceramic,69.87,350.46
Wire Cutter E,138,A high-quality wire designed for durability and efficiency.,Fabric,55.14,377.45
Socket F,123,A high-quality socket designed for durability and efficiency.,Plastic,68.23,71.34
Drill Bit G,102,A high-quality drill designed for durability and efficiency.,Composite,84.08,243.87
Grinder H,276,A high-quality grinder designed for durability and efficiency.,Fabric,45.61,20.3
Screw I,472,A high-quality screw designed for durability and efficiency.,Ceramic,52.66,55.52
Bolt J,114,A high-quality bolt designed for durability and efficiency.,Wood,83.55,306.09
Nail K,54,A high-quality nail designed for durability and efficiency.,Composite,90.34,199.07
Hammer L,410,A high-quality hammer designed for durability and efficiency.,Composite,46.66,318.06
Wrench M,314,A high-quality wrench designed for durability and efficiency.,Wood,44.15,420.44
Drill N,355,A high-quality drill designed for durability and efficiency.,Glass,81.97,402.26
Saw O,45,A high-quality saw designed for durability and efficiency.,Fabric,16.29,371.16
Pliers P,45,A high-quality pliers designed for durability and efficiency.,Composite,28.48,174.59
Tape Measure Q,32,A high-quality tape designed for durability and efficiency.,Ceramic,90.21,355.29
Screwdriver R,211,A high-quality screwdriver designed for durability and efficiency.,Composite,89.76,491.77
Nut S,462,A high-quality nut designed for durability and efficiency.,Glass,19.37,285.67
Washer T,154,A high-quality washer designed for durability and efficiency.,Metal,34.45,172.03
Chisel U,90,A high-quality chisel designed for durability and efficiency.,Composite,89.93,371.51
Clamp V,223,A high-quality clamp designed for durability and efficiency.,Fabric,24.44,291.13
Level W,236,A high-quality level designed for durability and efficiency.,Glass,42.55,52.0
Sandpaper X,174,A high-quality sandpaper designed for durability and efficiency.,Metal,54.58,71.96
Wire Cutter Y,197,A high-quality wire designed for durability and efficiency.,Fabric,58.43,46.92
Socket Z,321,A high-quality socket designed for durability and efficiency.,Glass,1.3,144.87
Drill Bit A,168,A high-quality drill designed for durability and efficiency.,Composite,18.38,23.33
Grinder B,195,A high-quality grinder designed for durability and efficiency.,Plastic,39.23,169.32
Screw C,196,A high-quality screw designed for durability and efficiency.,Fabric,27.05,170.06
Bolt D,296,A high-quality bolt designed for durability and efficiency.,Plastic,90.58,414.4
Nail E,124,A high-quality nail designed for durability and efficiency.,Glass,0.21,10.77
Hammer F,161,A high-quality hammer designed for durability and efficiency.,Plastic,39.79,427.51
Wrench G,354,A high-quality wrench designed for durability and efficiency.,Composite,94.34,383.44
Drill H,361,A high-quality drill designed for durability and efficiency.,Plastic,48.47,434.14
Saw I,489,A high-quality saw designed for durability and efficiency.,Metal,77.57,127.06
Pliers J,453,A high-quality pliers designed for durability and efficiency.,Wood,3.58,107.83
Tape Measure K,116,A high-quality tape designed for durability and efficiency.,Glass,67.76,268.82
Screwdriver L,425,A high-quality screwdriver designed for durability and efficiency.,Composite,52.83,127.03
Nut M,317,A high-quality nut designed for durability and efficiency.,Fabric,93.68,386.5
Washer N,333,A high-quality washer designed for durability and efficiency.,Composite,82.67,189.81
Chisel O,241,A high-quality chisel designed for durability and efficiency.,Wood,39.46,195.49
Clamp P,41,A high-quality clamp designed for durability and efficiency.,Wood,66.31,301.15
Level Q,146,A high-quality level designed for durability and efficiency.,Plastic,37.95,31.01
Sandpaper R,102,A high-quality sandpaper designed for durability and efficiency.,Ceramic,63.3,276.94
Wire Cutter S,103,A high-quality wire designed for durability and efficiency.,Fabric,31.54,41.36
Socket T,352,A high-quality socket designed for durability and efficiency.,Composite,77.08,297.14
Drill Bit U,113,A high-quality drill designed for durability and efficiency.,Fabric,12.71,201.05
